イキ,生活
拘禁する,主体の変化, 位置変化, 対人・対物的動作
進める,位置変化, 主体の変化, 対象の変化, 進行状況の変化
突っ込む,位置変化, 関係の変化, 他者に動作を促す動作
望む,他者の行為に対する希望・待機, 位置
敬聴する,主体の変化
相いれない,関係, 関係の変化
ふやけた,対象の性質, 主体の変化, 対象の変化
独習する,主体の変化
遠のく,位置変化, 対象の変化
雄健,主体の変化, 生成・消滅
遠回し,位置変化
聖なる,位置変化, 主体の変化, 身体的動作
完結する,開始・終了
精美,主体の変化, 対象の変化
幼弱,状態変化, 状態維持, 対人・対物的動作, 位置変化
しょぼしょぼする,主体の性質
あくどい,位置変化, 主体の変化, 身体的動作
それきり,位置変化, 主体の変化
打ち切る,対象の変化, 開始・終了
果たす,生成・消滅, 遂行
小ぎれい,主体の変化, 対象の変化
じだんだを踏む,主体の変化
退寮する,位置変化
事足りる,関係, 位置変化
論駁する,位置変化
…ておいでになる,生成・消滅, 位置変化
ざっと,関係, 位置変化
へそを曲げる,主体の変化
ナーバス,位置変化, 主体の変化, 身体的動作
内偵する,主体の変化
カンニングする,情報・解決策を得るための動作
差し支える,非遂行
放浪する,移動動作
吹き渡る,位置変化
ぷかぷか,位置変化
出願する,位置変化
破談になる,主体の変化, 位置変化, 身体的動作
ふやける,主体の変化
吐露する,位置変化
類比する,主体の変化
異例,関係, 関係の変化
背馳する,関係, 関係の変化
迂愚,位置変化, 主体の変化, 身体的動作
かじける,主体の変化, 生成・消滅
目を凝らす,主体の変化
伴食する,主体の変化, 位置変化, 身体的動作
撮る,生成・消滅
質に入れる,位置変化
運が向く,主体の変化, 位置変化, 身体的動作
全開する,対象の変化
打ち払う,関係の変化, 位置変化
かいつまむ,主体の変化, 位置変化, 身体的動作
収束する,位置変化
客観化する,主体の変化
時宜を得る,位置変化, 主体の変化
死蔵する,位置変化
スイングする,身体的動作
強姦する,位置変化, 主体の変化, 身体的動作
掘る,位置変化, 生成・消滅
碇泊する,位置変化
雨あられと,位置変化
配慮する,情報・解決策を得るための動作
はげちょろける,主体の変化, 生成・消滅
持ち上げる,位置変化, 対人・対物的動作
大胆不敵,位置変化, 主体の変化, 身体的動作
否めない,主体の変化
くじける,主体の変化
張り付ける,位置変化
虚仮にする,主体の変化, 位置変化, 対人・対物的動作
こましゃくれる,主体の変化
剥ぐ,位置変化
据え置く,生成・消滅, 位置変化
簡潔,主体の変化, 対象の変化
目を見張る,主体の変化
制動する,位置変化
夢想する,主体の変化
見下ろす,主体の変化（判断・認識の変化）, 情報・解決策を得るための動作
付いて回る,位置変化
アメリカン?,主体の変化, 位置変化, 身体的動作
?染みる,主体の変化, 対象の変化
自失する,主体の変化
ひとり残らず,関係, 位置変化
再見する,主体の変化
仰せ渡す,位置変化
失礼する,位置変化
得難い,位置変化
幻滅する,主体の変化
値が出る,位置変化
生まれながら,主体の変化, 生成・消滅
作業する,身体的動作
隔絶する,位置変化
聞くに忍びない,主体の変化
すくめる,位置変化
暇を出す／をやる,主体の変化, 位置変化, 対人・対物的動作
助命する,主体の変化, 位置変化, 対人・対物的動作
…てくれる,関係の変化, 位置変化
飛び抜ける,関係
措置する,主体の変化
あえない,生成・消滅, 位置変化
突撃する,相手との関係の変化のための動作
まったりした,対象の性質, 主体の変化, 対象の変化
刃こぼれする,位置変化
荷造りする,位置変化
修まる,主体の変化
然諾を重んずる,関係の変化, 位置変化
皆無,生成・消滅, 位置変化
難船する,位置変化
上略する,生成・消滅, 位置変化
頑是ない,位置変化, 主体の変化, 身体的動作
うずまる,位置変化
ストライキする,主体の変化, 位置変化, 身体的動作
目下,位置変化, 主体の変化
瞑想する,主体の変化
上出来,主体の変化, 対象の変化
輝かす,対象の性質, 主体の変化, 対象の変化
選挙する,対象の変化（主体の判断に伴う変化）
知り抜く,主体の変化
茫漠,関係, 位置変化
反証する,主体の変化
やくざ,主体の変化, 位置変化, 身体的動作
莞爾,主体の変化
手が離れる,主体の変化, 位置変化, 対人・対物的動作
退位する,主体の変化, 位置変化, 身体的動作
饒舌,位置変化
込み合う,主体の変化, 対象の変化
直感する,位置変化
体認する,主体の変化
変約する,関係の変化, 位置変化
根気が切れる,主体の変化
たがを緩める,主体の変化
消却する,生成・消滅, 位置変化
あっぱれ,主体の変化, 対象の変化
一脈通じる,関係, 関係の変化
懇望する,主体の変化, 位置変化, 対人・対物的動作
団結する,関係の変化, 位置変化
?中,関係, 位置変化
立て込んだ,主体の変化, 対象の変化
ずうずうしい,主体の変化
ひねくれる,主体の変化
肌を脱ぐ,主体の変化, 位置変化, 身体的動作
後に続く,位置変化
辛辣,位置変化
踏み倒す,対象の変化, 非遂行
妄評する,位置変化
目が明く／を明ける,主体の変化, 位置変化, 身体的動作
すんでのことに,位置変化, 主体の変化
もやが掛かる,対象の変化
混じり気のない,主体の変化, 対象の変化
卒する,主体の変化, 生成・消滅
羽目が外れる／を外す,主体の変化, 対象の変化
常設する,生成・消滅, 位置変化
キープする,状態維持
おっことす,位置変化
道草する,身体的動作
あお向ける,主体の変化, 位置変化, 身体的動作
乗り気になる,主体の変化
官途に就く,主体の変化, 位置変化, 身体的動作
国際的,位置変化, 位置
はんだ付けする,位置変化
安売りする,位置変化, 対人・対物的動作
スパイクする,主体の変化, 相手との関係の変化のための動作
細切れにする,位置変化
帰る,位置変化
責任を取る,主体の変化
終生,位置変化, 主体の変化
気を吐く,位置変化
露見・露顕する,生成・消滅, 位置変化
喜劇的,主体の変化, 位置変化, 身体的動作
負けず劣らず,関係, 関係の変化
常用する,身体的動作
弱気,主体の変化
押し広げる,位置変化
包み隠す,生成・消滅, 位置変化
広める,位置変化, 主体の変化
足を棒にする,位置変化
さばく,位置変化, 生成・消滅
軟着陸する,位置変化
クローズする,開始・終了
押しのける,位置変化
絶つ,生成・消滅, 位置変化
解答する,位置変化
お供する,共同動作
徳とする,主体の変化
まるきり,関係, 位置変化
耳新しい,位置変化, 主体の変化
引っ張り出す,位置変化
呼集する,位置変化
ほほ笑む,主体の変化
振り切る,生成・消滅, 位置変化
例のとおり,主体の変化, 対象の変化
聞き違いする,主体の変化（判断・認識の変化）
口さがない,位置変化
線を引く,位置変化
誇らしい,主体の変化
拱手傍観する,主体の変化
考える,情報・解決策を得るための動作
印する,位置変化
かつがつ,関係, 位置変化
もみ合う,関係の変化, 位置変化
尽くす,対人・対物的動作, 実行
加担・荷担する,関係の変化, 位置変化
緊急,主体の変化, 対象の変化
染みつく,位置変化
ハイキングする,移動動作
くらっと,主体の変化
地理的,位置変化, 位置
開平する,主体の変化
買いためる,位置変化
封殺する,主体の変化, 位置変化, 身体的動作
つぼめる,位置変化
一生,位置変化, 主体の変化
勝手,主体の変化
絶縁する,関係の変化, 対象の変化（主体の判断に伴う変化）
勝敗を決する,関係の変化, 位置変化
停頓する,位置変化
教鞭を取る,主体の変化, 位置変化, 身体的動作
道が付く,位置変化
編む,生成・消滅
苦労なし,主体の変化
のんべんだらり,主体の変化, 対象の変化
年たける,位置変化, 主体の変化
覆す,位置変化
覆う,位置変化, 対象の性質, 状態維持
自適する,主体の変化, 位置変化, 身体的動作
極大,関係, 位置変化
胸を焦がす,主体の変化
ぬかる,対象の性質, 主体の変化, 対象の変化
べろべろ,主体の変化
諦念する,主体の変化
心をやる,主体の変化
口を緘する,位置変化
易化する,対象の変化（主体の判断に伴う変化）
人目を忍ぶ／をはばかる／をつつむ,生成・消滅, 位置変化
炸裂する,位置変化
きんきらきん,対象の性質, 主体の変化, 対象の変化
おっちょこちょい,位置変化, 主体の変化, 身体的動作
漸進する,位置変化
再審する,主体の変化, 位置変化, 対人・対物的動作
覆る,位置変化
つまされる,主体の変化
観戦する,情報・解決策を得るための動作
かっ飛ばす,位置変化
地歩を占める,主体の変化, 位置変化, 身体的動作
斬新,位置変化, 主体の変化
ぬかす,位置変化
過労死する,主体の変化, 生成・消滅
言葉を交わす,位置変化
繰り越す,その他の変化
言葉に余る,位置変化
つむじを曲げる,主体の変化, 位置変化, 対人・対物的動作
咲く,対象の変化
すいすい,位置変化
ワンダフル,主体の変化, 対象の変化
のそのそした,関係, 位置変化
かぶりを振る,主体の変化, 位置変化, 身体的動作
慄然,主体の変化
震わす,位置変化
ひだるい,主体の変化
商談する,位置変化
射出する,位置変化
切り崩す,位置変化
開かずの,位置変化
きょとんと,主体の変化
読みあさる,位置変化
会わせる・会わす,関係の変化, 位置変化
構い付ける,関係の変化, 位置変化
厚顔,主体の変化
結い付ける,位置変化
ばれる,位置変化
びしばし,主体の変化, 位置変化, 対人・対物的動作
急襲する,関係の変化, 位置変化
雄弁に物語る,位置変化
お経を上げる,主体の変化, 位置変化, 身体的動作
丸める,生成・消滅, 主体の変化, 対象の変化
純化する,位置変化
＊,関係, 関係の変化
エレガント,主体の変化, 位置変化, 身体的動作
のぞき見る,主体の変化
皓皓・皎皎,対象の性質, 主体の変化, 対象の変化
接見する,共同動作
淫奔,位置変化, 主体の変化, 身体的動作
冗談じゃない,関係, 位置変化
跡／跡目を継ぐ,位置変化
たんかを切る,位置変化
ひょっくり,位置変化
おのずから,位置変化
簡単,主体の変化, 対象の変化
ごそごそ,対象の性質, 主体の変化, 対象の変化
どじを踏む,位置変化, 主体の変化, 身体的動作
腰を浮かす,主体の変化, 位置変化, 身体的動作
浮く,位置変化, 主体の変化, その他の変化
意義付ける,主体の変化
休電する,位置変化
積み込む,位置変化
振り飛ばす,位置変化
アグレッシブ,位置変化, 主体の変化, 身体的動作
高?,関係, 位置変化
私有する,所有
印象付ける,位置変化
ばったばったと,位置変化
躍動する,位置変化
過ぐる,位置変化, 主体の変化
対戦する,相手との関係の変化のための動作
子細,主体の変化
散歩する,位置変化
しびれが切れる,主体の変化
評判する,位置変化
転回する,位置変化
思わしい,主体の変化
随意,主体の変化
横の物を縦にもしない,主体の変化
なえる,主体の変化, 生成・消滅
お上手を言う,位置変化
供応する,主体の変化, 位置変化, 身体的動作
開けっ放しにする,位置変化
煙たい,主体の変化
信頼する,主体の変化（判断・認識の変化）
ぶったまげる,主体の変化
独酌する,主体の変化, 位置変化, 身体的動作
品枯れする,関係, 位置変化
狐疑する,主体の変化
わりない,関係, 関係の変化
空きができる,関係, 位置変化
底抜け,関係, 位置変化
さくさくする,対象の性質, 主体の変化, 対象の変化
あざとい,位置変化, 主体の変化, 身体的動作
こなれる,主体の変化, 生成・消滅
応ずる,関係, 関係の変化
背負い込む,位置変化, 主体の変化, 身体的動作
突っ切る,位置変化
並びない,位置変化
壮烈,位置変化, 主体の変化, 身体的動作
ざらつく,対象の性質
下賜する,位置変化
調った,主体の変化, 対象の変化
振れる,位置変化
鈍,位置変化, 主体の変化, 身体的動作
内助する,主体の変化, 位置変化, 対人・対物的動作
恒常的,位置変化
がたごと,対象の性質, 主体の変化, 対象の変化
飛び上がる,位置変化, 主体の変化, 身体的動作
白羽の矢を立てる,主体の変化, 位置変化, 対人・対物的動作
たて突く,主体の変化
転移する,位置変化
滔滔,位置変化
漫歩する,主体の変化, 位置変化, 身体的動作
ユーモラス,主体の変化
おおっぴら,生成・消滅, 位置変化
あけすけに言う,位置変化
今,位置変化, 主体の変化
つまみ食いする,主体の変化, 位置変化, 身体的動作
地割りする,位置変化
波に乗る,状態変化, 状態維持, 対人・対物的動作, 位置変化
転進する,位置変化
群れ立つ,位置変化
角張った,状態, 状態変化
濃艶,主体の変化, 対象の変化
訴願する,主体の変化, 位置変化, 対人・対物的動作
くっつき合う,位置変化
療養する,身体的動作
喫煙する,身体的動作
大もて,位置変化
短め,関係, 位置変化
ハスキー,対象の性質, 主体の変化, 対象の変化
まごまごする,身体的動作
逆戻りする,回復
忘れっぽい,位置変化, 主体の変化, 身体的動作
付き合う,共同動作
在室する,生成・消滅, 位置変化
無駄遣いする,位置変化
根っから,関係, 位置変化
付け足す,位置変化
見破る,位置変化
好き放題,主体の変化
休校する,開始・終了
銘ずる・銘じる,位置変化
浮かれ出る,位置変化
準?,状態変化
パークする,位置変化
お迎えが来る,主体の変化, 生成・消滅
非本質的,状態変化
斉一,主体の変化, 対象の変化
走る,位置変化, 主体の変化, 移動動作, 動作の様態・程度, 実行, 位置
集約する,関係の変化
追い詰める,情報・解決策を得るための動作
暗殺する,生成・消滅
グレードアップする,対象の変化
黙する・黙す,位置変化
成す,生成・消滅, 位置変化
即行する,位置変化, 主体の変化, 身体的動作
不信任する,主体の変化, 位置変化, 対人・対物的動作
幸か不幸か,主体の変化, 位置変化, 身体的動作
当たるを幸い,関係, 位置変化
すずろ,主体の変化
スイッチを入れる,位置変化, 生成・消滅
試しに,状態変化
生ぬるい,関係, 位置変化
ひざを打つ,主体の変化, 位置変化, 身体的動作
応分,主体の変化, 対象の変化
聴許する,関係の変化, 位置変化
愛好する,主体の性質
浮かれ出す,位置変化
実見する,主体の変化
増給する,位置変化
取り計らう,主体の変化
折り重ねる,位置変化
余すところなく,関係, 位置変化
果敢,位置変化, 主体の変化, 身体的動作
成る,生成・消滅, 変更, 対象の性質, （人との関わりに基づく）対象の性質
ふいと,位置変化, 主体の変化
いかにも,関係, 関係の変化
来診する,位置変化, 生成・消滅
割拠する,主体の変化, 位置変化, 対人・対物的動作
みっちり,関係, 位置変化
短い,関係, 位置変化
いつの間にか,位置変化, 主体の変化
ねじを巻く,主体の変化, 位置変化, 対人・対物的動作
羽振りのよい,位置変化, 主体の変化, 身体的動作
変身する,変更
混合する,関係の変化
完済する,位置変化
巡り合う,共同動作
たわわ,関係, 位置変化
保全する,状態維持
立食する,主体の変化, 位置変化, 身体的動作
本に,関係, 位置変化
減作する,位置変化, 生成・消滅
打擲する,位置変化
先回りする,位置変化, 実行
のし掛かる,位置変化
息が詰まる／を詰める,主体の変化, 生成・消滅
嵌る,位置変化
強要する,主体の変化, 位置変化, 対人・対物的動作
良過ぎる,関係, 位置変化
チャージする,位置変化
歯車がかみ合う,関係の変化, 位置変化
妥結する,関係の変化, 位置変化
目を走らせる,位置変化
採算が合う,位置変化
ぴちぴちする,主体の性質
錯綜する,主体の変化, 対象の変化
蕭然,主体の変化
時に遭う,主体の変化, 位置変化, 身体的動作
頭を振る,主体の変化, 位置変化, 身体的動作
累積する,位置変化
吟詠する,位置変化
丸みのある,状態, 状態変化
止揚する,主体の変化
現有する,位置変化
競り合う,相手との関係の変化のための動作
あごが干上がる,位置変化
言いさす,位置変化
染みる,位置変化, 主体の変化
観測する,情報・解決策を得るための動作
のらくら,主体の変化
版行する,位置変化, 生成・消滅
有為,位置変化, 主体の変化, 身体的動作
成り上がる,主体の変化, 位置変化, 身体的動作
食い足りる,主体の変化
融合する,関係の変化
すっとする,主体の変化, 主体の性質
にこり,主体の変化
がちゃがちゃ,対象の性質, 主体の変化, 対象の変化
けなす,位置変化
書き抜く,位置変化
けなげ,主体の変化
投票する,その他の変化
溶着する,位置変化
何なりと,関係, 位置変化
センチメンタル,主体の変化, 位置変化, 身体的動作
捧持する,主体の変化, 位置変化, 身体的動作
縁がある,関係, 関係の変化
お株を奪う,位置変化
謝礼する,位置変化
奏上する,位置変化
完敗する,関係の変化
独創的,主体の変化, 対象の変化
合わす,位置変化
往往にして,位置変化, 主体の変化
糾合する,位置変化
文弱,位置変化, 主体の変化, 身体的動作
居眠りする,身体的動作
資する,位置変化
押し飛ばす,位置変化
過激,状態変化, 状態維持, 対人・対物的動作, 位置変化
同期する,共同動作
ばかの骨頂,位置変化, 主体の変化, 身体的動作
世間体が悪い,主体の変化
じろじろ,主体の変化
稟議する,関係の変化, 位置変化
腕を振るう,位置変化, 主体の変化, 身体的動作
?千万,関係, 位置変化
さえ返る,対象の変化
殴り書きする,生成・消滅
整調する,主体の変化, 対象の変化
やわらかい,対象の性質, 主体の変化, 対象の変化
根絶やしにする,生成・消滅, 位置変化
再挙する,位置変化, 主体の変化, 身体的動作
情が深い,主体の変化
ぎっくり,主体の変化
ず抜けた,位置変化
遊蕩する,主体の変化, 位置変化, 身体的動作
目の玉が飛び出る,主体の変化
粗相する,位置変化, 主体の変化, 身体的動作
みこしを担ぐ,主体の変化, 位置変化, 対人・対物的動作
集塵する,位置変化
三拍子そろった,主体の変化, 対象の変化
水はけがよい,位置変化
人のふんどしで相撲を取る,位置変化, 主体の変化, 身体的動作
罷免する,主体の変化, 位置変化, 対人・対物的動作
しばしばする,非意志的な運動・反応
真に迫った,状態変化
優れない,主体の変化, 対象の変化
成り済ます,位置変化
懐抱する,主体の変化
情がこわい,主体の変化
黙黙,位置変化
焦心する,主体の変化
かぶれる,主体の変化, 生成・消滅
続ける,反復・継続
一わたり,関係, 位置変化
立ちゆく,生成・消滅, 位置変化
もたれる,主体の変化, 主体の性質
まげて,主体の変化
かぎ分ける,主体の変化
孝養する,主体の変化
伏せる,位置変化, 主体の変化, 対象の変化, 状態維持
失神する,主体の変化
溜める,位置変化
立ち連なる,位置変化
内命する,主体の変化, 位置変化, 対人・対物的動作
互選する,主体の変化, 位置変化, 対人・対物的動作
総毛立つ,主体の変化
構う,情報・解決策を得るための動作, 対人・対物的動作
決行する,実行
観光する,主体の変化, 位置変化, 身体的動作
歴訪する,関係の変化, 位置変化
躊躇する,主体の変化
与太を飛ばす,位置変化
男嫌い,主体の変化
頑迷,位置変化, 主体の変化, 身体的動作
そそり立った,対象の変化
有益,位置変化
強迫する,他者に動作を促す動作
落第する,主体の変化
緊密,関係, 関係の変化
分包する,位置変化, 生成・消滅
あごを出す,主体の変化
併設する,生成・消滅, 位置変化
欲する,他者の行為に対する希望・待機
ぱあになる,関係, 関係の変化
いい年をする,位置変化, 主体の変化
声を上げる,位置変化
遷延する,位置変化, 主体の変化
?的,関係, 関係の変化
大悟する,主体の変化
女女しい,位置変化, 主体の変化, 身体的動作
震撼させる,主体の変化
大口をたたく,位置変化
査定する,対象の変化（主体の判断に伴う変化）
似げない,主体の変化, 対象の変化
発明,位置変化, 主体の変化, 身体的動作
外面的,関係, 関係の変化
つれる,位置変化
雄渾,主体の変化, 位置変化, 身体的動作
腰を割る,主体の変化, 位置変化, 身体的動作
降等する,主体の変化, 位置変化, 対人・対物的動作
自主規制する,状態維持
玉にきず,主体の変化, 対象の変化
即諾する,関係の変化, 位置変化
又借りする,位置変化
天空海闊,位置変化, 主体の変化, 身体的動作
盾に取る,関係の変化, 位置変化
こそり,対象の性質, 主体の変化, 対象の変化
不参する,関係の変化, 位置変化
散開する,位置変化
可憐,主体の変化
立ち戻る,位置変化
あまねく,生成・消滅, 位置変化
嗜虐的,位置変化, 主体の変化, 身体的動作
?立つ,主体の変化, 対象の変化
人気が集まる,主体の変化, 位置変化, 身体的動作
揺れ動く,位置変化
コールド?,対象の変化
宥和する,関係の変化, 位置変化
すうっと,主体の変化
包み隠さず,生成・消滅, 位置変化
だあっと,位置変化
露見する,生成・消滅, 位置変化
死に絶える,生成・消滅, 位置変化
煥発する,生成・消滅, 位置変化
着崩れする,対象の変化
次次,位置変化
離水する,位置変化
滑稽,主体の変化
ちらほら,位置変化, 位置
織り出す,位置変化, 生成・消滅
なまじ,主体の変化, 対象の変化
文選する,位置変化, 生成・消滅
泣き面にはち,主体の変化, 位置変化, 身体的動作
満足,関係, 位置変化
馬が合う,主体の変化
用いる,主体の変化, 対象の変化（主体の判断に伴う変化）, 情報・解決策を得るための動作, 身体的動作, 対象の性質
気を楽にする,主体の変化
自ら,主体の変化
攻め込む,位置変化
吐き散らす,位置変化
湿った,対象の変化
大きくする,対象の変化
今に,位置変化, 主体の変化
ざぶん,対象の性質, 主体の変化, 対象の変化
頭をひねる,主体の変化
ひしゃげる,位置変化
ざぶり,対象の性質, 主体の変化, 対象の変化
嘆じる,主体の変化
時を同じくして,位置変化, 主体の変化
先導する,位置変化
炎上する,対象の変化
まとめる,位置変化, 生成・消滅, その他の変化
代わり代わり,関係, 関係の変化
理の当然,関係, 関係の変化
刻苦する,主体の変化
いかがわしい,主体の変化, 対象の変化
頭打ちになる,位置変化
斎戒する,主体の変化, 位置変化, 身体的動作
くるまる,位置変化
美妙,主体の変化, 対象の変化
キャンプを張る,主体の変化, 位置変化, 身体的動作
たるめる,主体の変化, 対象の変化
なまる,位置変化
擁立する,生成・消滅, 位置変化
聞きただす,位置変化
舐める,主体の変化（判断・認識の変化）, 情報・解決策を得るための動作, 主体の状態変化のための動作, 対人・対物的動作
人並み,主体の変化, 対象の変化
引きこもる,位置変化
併存する,生成・消滅, 位置変化
へたばる,主体の変化
有用,位置変化
灰にする,対象の変化
依拠する,関係, 関係の変化
痛心する,主体の変化
未曾有,主体の変化, 対象の変化
能がない,位置変化, 主体の変化, 身体的動作
破る,位置変化, 関係の変化, 対象の変化, 開始・終了, 共同動作
著述する,生成・消滅
縫い直す,位置変化, 生成・消滅
はにかむ,主体の変化
片が付く,生成・消滅, 位置変化
磨耗する,位置変化
腐りやすい,主体の変化, 生成・消滅
解除する,生成・消滅
越訴する,主体の変化, 位置変化, 対人・対物的動作
移り住む,位置変化
肩の荷を下ろす,位置変化, 主体の変化, 身体的動作
倦み果てる,主体の変化
投げ捨てる,生成・消滅, 非遂行
長大息する,主体の変化
解題する,位置変化
ため息をつく,主体の変化
気兼ねする,主体の変化, 位置変化, 対人・対物的動作
温か,対象の変化
揺すぶる,位置変化
中退する,主体の変化
落手する,位置変化
尽未来際,位置変化, 主体の変化
評決する,主体の変化
勇を鼓す,主体の変化
変質する,対象の変化
デカダン,主体の変化, 位置変化, 身体的動作
内発する,生成・消滅, 位置変化
嫌忌する,主体の変化
随時,位置変化, 主体の変化
気が移る,位置変化
しゃべり散らす,位置変化
開花する,対象の変化, 状態変化
情死する,主体の変化, 生成・消滅
感じ取る,主体の変化
ハングリー,主体の変化
降るほど,関係, 位置変化
破く,位置変化
持ちつ持たれつ,関係, 関係の変化
優先的,位置変化
かさむ,位置変化
禄を盗む,主体の変化, 位置変化, 身体的動作
兵端を開く,関係の変化, 位置変化
腹をこしらえる,主体の変化, 位置変化, 身体的動作
緩やか,主体の変化, 対象の変化
つかえる,位置変化
細める,主体の変化
無駄口をたたく,位置変化
精確,主体の変化
根深い,関係, 位置変化
幅が利く／を利かす,主体の変化, 位置変化, 身体的動作
口を結ぶ,位置変化
苦にする,主体の変化
入念,主体の変化
着やせする,主体の変化
創設する,生成・消滅
庶幾する,主体の変化
供出する,位置変化
手を携える,主体の変化, 位置変化, 身体的動作
一肩担ぐ,主体の変化, 位置変化, 対人・対物的動作
直諫する,主体の変化, 位置変化, 対人・対物的動作
もたせ掛ける,位置変化
守備する,状態維持
寄ると触ると,位置変化, 主体の変化
感銘する,主体の変化
葬送する,主体の変化, 位置変化, 身体的動作
くみ干す,位置変化
称する,位置変化
解党する,位置変化
いたぶる,位置変化
折衷する,主体の変化
詠ずる,位置変化
がっぷり,主体の変化, 位置変化, 身体的動作
歌唱する,生成・消滅
乗り掛かる,位置変化
